State,Poverty,Total
AL,750,3751
AK,66,591
AZ,917,5108
AR,382,2374
CA,4716,31124
CO,530,4099
CT,326,3157
DE,78,764
DC,115,424
FL,1975,15870
GA,1298,7716
HI,110,1164
ID,143,1298
IL,1441,11130
IN,774,5357
IA,327,2575
KS,337,2356
KY,599,3450
LA,748,3338
ME,166,1148
MD,542,5018
MA,641,5677
MI,1196,8768
MN,412,4701
MS,571,2272
MO,659,5038
MT,128,798
NE,167,1593
NV,260,2187
NH,73,1225
NJ,592,8100
NM,347,1591
NY,2760,16235
NC,1115,7423
ND,70,555
OH,1392,9918
OK,543,2943
OR,436,3183
PA,1372,10865
RI,127,925
SC,626,3538
SD,90,675
TN,872,4981
TX,3681,19096
UT,232,2289
VT,47,574
VA,684,6758
WA,636,5601
WV,276,1519
WI,553,4887
WY,54,455
